date_local,site_num,co_mean,hap_mean,lead_mean,o2_mean,o3_mean,t_mean
2019-03-28,8001,0.22666699999999998,0.07,0.002,9.2277779999999989,0.028614999999999998,59.158333
2019-05-09,8001,0.19583299999999998,0.0017699999999999999,0.003,5.856522,0.032646999999999995,60.154166999999994
2018-11-10,1103,1.25,0.0,0.023,30.470833,0.019118,63.15
2018-02-19,8001,0.17041699999999999,0.2,0.00592,5.6625000000000005,0.028176,49.775000000000006
2018-06-07,0011,0.164217,0.0,0.00267,4.143478,0.045647,70.529167
2018-07-13,8001,0.2,0.1,0.0069299999999999995,10.020833,0.039646999999999995,81.508333
2019-02-08,8001,0.41125,0.08,0.008,21.733333,0.021941,48.725
2019-08-13,8001,0.254167,0.1,0.0076799999999999993,11.716667,0.051587999999999995,79.162500000000009
2019-02-14,1103,0.23900000000000002,0.009389999999999999,0.00065,13.031818,0.017471,57.629166999999995
2019-05-21,0008,0.144565,0.001,0.00065,1.995652,0.029706,56.679167
2018-09-23,1103,0.35000000000000003,0.02,0.005,10.504166999999999,0.035588,70.191667
2018-11-28,0006,0.183333,0.002,0.0,2.0,0.027235,57.0
2018-01-08,1103,0.71666699999999994,0.0,0.006,23.975,0.010235,63.433333
2019-10-24,1103,0.908333,0.2,0.018000000000000002,42.445833,0.018882,80.8
2018-06-19,1103,0.23333299999999998,0.0181,0.00822,9.8458329999999989,0.029175999999999997,66.479167
2019-07-02,8001,0.22916699999999998,0.001,0.004,9.9416669999999989,0.048706,74.975000000000009
2019-11-05,1103,0.854167,0.001,0.011000000000000001,33.4625,0.023353,66.104167
2018-04-20,8001,0.310458,0.0,0.004,15.883332999999999,0.032353,59.679167
2018-10-05,1002,0.216667,2.3000000000000003,0.00375,11.126087,0.021529,65.883333
2019-11-11,1103,0.41250000000000003,0.03,0.007,15.083333,0.026000000000000002,63.9
2018-08-06,8001,0.35062499999999996,0.007,0.007,16.466666999999998,0.058941,86.545833
2019-05-09,1002,0.2,1.7,0.00244,6.356522,0.031411999999999995,63.783333
2019-10-24,0006,0.302045,0.001,0.003,10.545454999999999,0.018352999999999998,68.208333
2019-06-14,1103,0.213636,2.5,0.0072000000000000007,8.927273,0.031471,65.7625
2019-05-21,1022,0.153048,0.3,0.00065,1.47619,0.042071,58.75
2019-08-25,1103,0.354167,3.4,0.0052899999999999996,14.095832999999999,0.028058999999999997,77.0125
2019-06-02,8001,0.173583,0.0,0.003,4.8875,0.039175999999999996,62.525000000000006
2019-01-21,1002,0.216217,0.0,0.00244,10.352174,0.023587999999999998,50.925000000000004
2018-01-26,8001,0.36250000000000004,0.0,0.00323,18.333333,0.021824,54.316666999999995
2018-12-10,1103,0.729167,0.0,0.013000000000000001,28.220833,0.003588,61.191666999999995
2019-04-15,1002,0.175957,0.152,0.00276,7.13913,0.031941,56.087500000000006
2018-02-19,1022,0.2,0.2,0.0019299999999999999,0.666667,0.042692,53.541667
2019-10-24,1103,0.908333,0.0,0.018000000000000002,42.1875,0.018882,80.8
2018-07-13,8001,0.320833,-0.002,0.005,10.020833,0.039646999999999995,81.508333
2019-04-15,1103,0.304458,0.0,0.008,14.4375,0.032588,58.962500000000006
2018-07-13,1022,0.240667,-0.002,0.0028699999999999997,3.142857,0.030643,76.333333
2019-11-17,1103,0.775,0.0,0.0090000000000000011,28.233333,0.018588,72.18333299999999
2019-09-06,8001,0.291667,0.02,0.006,12.416666999999999,0.038,83.162500000000009
2018-10-29,0008,0.11087,0.2,0.00278,1.491304,0.032764999999999996,63.091666999999994
2019-04-15,0008,0.157217,1.62,0.00145,3.143478,0.044471,55.0375
2019-09-30,1103,0.445833,0.00932,0.006,17.7625,0.019941,63.566666999999995
2019-10-12,1103,0.620833,0.08,0.011000000000000001,25.0625,0.035647,69.229167
2019-09-30,1103,0.445833,0.02,0.006,17.7625,0.019941,63.566666999999995
2018-08-30,8001,0.32741699999999996,-0.002,0.00777,16.541667,0.037412,77.920833
2019-04-03,0005,0.2,0.63,0.00131,7.1636359999999994,0.024706,57.458332999999996
2018-10-05,8001,0.179167,0.2,0.00268,10.508333,0.025235,68.75
2019-08-01,1103,0.37083299999999997,3.5,0.011000000000000001,16.245832999999998,0.025882,73.3625
2018-01-02,1103,1.1118329999999998,0.0,0.009049999999999999,42.504166999999995,0.01,62.270832999999996
2018-10-05,8001,0.25,-0.003,0.004,10.508333,0.025235,68.75
2019-01-09,8001,0.56666699999999992,0.0090000000000000011,0.00468,25.870832999999998,0.011412,56.25
2019-08-25,1103,0.354167,0.2,0.006,14.095832999999999,0.028058999999999997,77.0125
2018-04-08,8001,0.379167,0.0,0.004,6.733333,0.033881999999999995,66.99583299999999
2018-07-25,8001,0.391667,0.0,0.00449,9.9083329999999989,0.057881999999999996,86.491666999999993
2019-05-27,8001,0.108333,0.02,0.001,4.1625000000000005,0.030411999999999998,57.225
2018-09-17,8001,0.35833299999999996,0.00488,0.006,20.291667,0.033764999999999996,75.9875
2019-05-27,1103,0.25,0.012,0.002,7.5708329999999995,0.025824,58.429167
2019-05-21,1022,0.16666699999999998,0.3,0.00065,1.47619,0.042071,58.75
2019-11-29,8001,0.28525,1.3,0.001,13.025,0.019528999999999998,45.65
2019-02-20,1103,0.5007,0.0,0.003,20.666667,0.020294,48.504166999999995
2019-09-30,8001,0.258333,-0.002,0.0039299999999999995,12.25,0.028940999999999998,61.879166999999995
2018-01-02,1002,0.57083299999999992,0.0,0.010100000000000001,21.208696,0.005471,50.983332999999995
2018-06-07,8001,0.266667,0.011000000000000001,0.0055899999999999995,8.452380999999999,0.032545,68.454167
2019-09-30,1022,0.1908,0.00426,0.00329,3.6,0.041166999999999995,63.041667
2019-04-27,0011,0.218083,1.86,0.00635,6.3434779999999993,0.037294,73.825
2018-06-19,1022,0.17500000000000002,0.152,0.00358,1.894737,0.046142999999999997,67.409091
2019-09-12,8001,0.415333,0.002,0.008,20.3875,0.042470999999999995,78.879167
2019-08-01,8001,0.258333,0.0,0.00575,10.8375,0.051176,79.133333
2019-07-08,8001,0.145833,0.003,0.00492,3.75,0.042529,68.916667
2018-07-13,8001,0.325,0.2,0.005,10.020833,0.039646999999999995,81.508333
2019-11-17,1103,0.704167,0.0,0.008,28.233333,0.018588,72.18333299999999
2018-12-04,0011,0.383333,0.00065,0.00265,17.013043,0.011176,51.7
2019-05-09,1002,0.171,0.004,0.00244,6.356522,0.031411999999999995,63.783333
2018-01-02,8001,0.625958,0.1,0.0099,27.129167,0.017941,64.854167
2019-01-21,8001,0.16666699999999998,0.0,0.00292,9.6916669999999989,0.026882,55.241667
2018-10-05,0006,0.161538,0.007,0.003,6.533333,0.015583,64.625
2019-04-15,1103,0.326316,0.00426,0.0090000000000000011,14.4375,0.032588,58.962500000000006
2018-04-08,8001,0.35833299999999996,0.2,0.004,6.733333,0.033881999999999995,66.99583299999999
2018-03-15,8001,0.158667,0.70000000000000007,0.00065,4.3833329999999995,0.035,55.566666999999995
2019-08-01,1103,0.383333,0.00087,0.012,16.375,0.025882,73.3625
2019-02-20,8001,0.42916699999999997,0.0,0.006,21.141666999999998,0.021471,44.625
2018-07-07,0006,0.192375,0.0,0.001,4.625,0.036234999999999996,80.29166699999999
2019-07-22,0002,0.35833299999999996,0.020300000000000002,0.00836,20.6,0.039764999999999995,76.616666999999993
2018-03-03,0005,0.291667,0.0,0.00065,12.563635999999999,0.022175999999999998,46.416667
2018-12-10,0006,0.4378,-0.007,0.004,7.55,0.0055000000000000005,49.333332999999996
